Wage (mean wage per hour),Educ (years),Exper (years),Race,Gender,Marital status
3.799999952316284,15,6,white,male,married
3.0,8,33,white,female,married
5.0,16,2,white,female,married
4.630000114440918,14,4,white,female,married
3.0,15,1,white,male,single
3.200000047683716,12,29,white,female,single
3.910000085830689,18,17,white,male,married
6.429999828338623,16,17,white,female,married
5.480000019073486,10,36,white,female,married
1.5,8,31,white,male,single
2.900000095367432,10,23,white,female,single
5.0,11,13,white,male,married
8.920000076293945,18,3,white,male,married
5.0,15,15,white,male,single
3.5199999809265137,12,48,white,male,married
2.900000095367432,11,6,white,female,single
4.5,12,12,white,male,married
2.25,12,5,white,female,single
5.0,14,19,white,male,married
10.0,16,9,nonwhite,male,married
3.75,2,39,white,male,married
10.0,14,28,white,female,married
10.949999809265137,16,23,white,male,married
7.900000095367432,12,2,white,male,single
4.71999979019165,12,15,white,female,single
5.840000152587891,13,5,white,female,married
3.829999923706055,12,18,white,female,single
3.200000047683716,15,2,white,female,single
2.0,10,3,nonwhite,female,single
4.5,12,31,white,female,married
11.550000190734863,16,20,white,female,married
2.140000104904175,13,34,nonwhite,female,married
2.380000114440918,9,5,nonwhite,male,single
3.75,12,11,white,male,single
5.519999980926514,13,31,white,male,single
6.5,12,8,white,female,married
3.0999999046325684,12,2,white,female,single
10.0,14,18,white,male,married
6.630000114440918,16,3,white,male,married
10.0,16,3,white,male,married
2.309999942779541,9,4,white,female,single
6.880000114440918,18,4,white,male,single
2.8299999237060547,10,1,white,male,single
3.130000114440918,10,1,white,female,single
8.0,13,28,white,male,married
4.5,12,47,white,female,married
8.649999618530273,18,13,white,female,single
2.0,13,2,white,female,single
4.75,12,48,white,female,married
6.25,13,6,white,female,married
6.0,13,8,white,male,married
15.380000114440918,13,25,white,male,married
14.579999923706056,18,13,white,female,single
12.5,12,8,white,male,single
5.25,12,19,white,female,married
2.1700000762939453,13,1,white,female,single
7.139999866485596,12,43,white,female,single
6.21999979019165,12,19,white,female,married
9.0,12,11,white,female,married
10.0,14,43,white,male,married
5.769999980926514,10,44,white,male,married
4.0,12,22,white,female,married
8.75,16,3,white,male,married
6.53000020980835,16,3,white,female,single
7.599999904632568,12,41,white,female,single
5.0,14,5,white,male,single
5.0,12,14,white,female,single
21.86000061035156,12,24,white,male,married
8.640000343322754,12,28,white,male,married
3.299999952316284,12,25,white,male,married
4.440000057220459,12,3,white,male,single
4.550000190734863,12,11,white,male,married
3.5,12,7,nonwhite,female,married
6.25,16,9,white,male,married
3.849999904632568,16,5,white,male,married
6.179999828338623,14,9,white,female,married
2.9100000858306885,11,1,white,female,single
6.25,16,2,nonwhite,female,single
6.25,12,13,white,female,married
9.050000190734863,12,10,white,male,married
10.0,17,5,white,male,married
11.109999656677246,12,30,white,male,married
6.880000114440918,12,31,white,male,married
8.75,16,1,nonwhite,male,single
10.0,8,9,white,male,married
3.049999952316284,12,10,white,female,married
3.0,12,38,white,female,married
5.800000190734863,12,19,white,female,married
4.099999904632568,16,5,white,female,married
8.0,12,26,white,male,married
6.150000095367432,12,35,white,female,single
2.700000047683716,9,2,white,female,single
2.75,13,1,white,female,single
3.0,16,19,white,female,married
3.0,14,3,white,female,single
7.360000133514404,8,36,white,male,married
7.5,14,29,white,male,married
3.5,13,1,white,male,single
8.100000381469727,12,38,white,female,married
3.75,18,1,white,male,single
3.25,9,29,nonwhite,male,married
5.829999923706055,8,36,white,female,married
3.5,8,4,white,male,single
3.3299999237060547,12,45,white,female,married
4.0,14,22,white,female,single
3.5,12,20,white,female,married
6.25,16,5,white,male,married
2.950000047683716,8,15,nonwhite,female,married
5.710000038146973,13,10,white,female,married
3.0,9,3,white,female,single
22.86000061035156,16,16,white,male,married
9.0,12,38,white,male,married
8.329999923706055,15,33,white,male,married
3.0,11,2,white,male,single
5.75,14,6,white,male,married
6.760000228881836,12,19,nonwhite,male,married
10.0,12,29,white,male,married
3.0,12,2,white,male,single
3.5,18,3,white,female,single
3.25,12,4,white,male,single
4.0,12,10,nonwhite,female,single
2.9200000762939453,12,4,white,female,single
3.059999942779541,12,14,nonwhite,female,single
3.200000047683716,12,15,white,female,married
4.75,12,19,white,male,married
3.0,14,17,white,female,married
18.15999984741211,16,29,white,male,married
3.5,12,2,white,female,single
4.110000133514404,14,5,white,male,single
1.9600000381469729,11,38,nonwhite,female,single
4.289999961853027,12,3,white,female,single
3.0,10,47,white,male,single
6.449999809265137,12,7,white,male,married
5.199999809265137,6,47,nonwhite,male,married
4.5,13,23,nonwhite,female,single
3.880000114440918,12,12,white,male,married
3.450000047683716,10,11,white,female,single
10.90999984741211,12,25,white,male,single
4.099999904632568,14,6,white,female,married
3.0,13,3,white,male,single
5.900000095367432,12,14,nonwhite,male,married
18.0,18,13,white,female,single
4.0,12,9,white,male,single
3.0,12,1,nonwhite,male,single
3.549999952316284,12,6,white,female,married
3.0,12,11,white,female,married
8.75,12,47,white,male,married
2.900000095367432,8,49,white,female,single
6.260000228881836,13,37,white,female,married
3.5,13,2,white,female,single
4.599999904632568,14,7,white,female,married
6.0,12,22,white,male,single
2.890000104904175,10,8,white,female,single
5.579999923706055,16,1,white,male,married
4.0,12,43,white,female,married
6.0,16,2,white,male,single
4.5,12,2,white,female,single
2.9200000762939453,14,1,white,male,single
4.329999923706055,18,1,white,male,single
18.88999938964844,17,26,white,male,married
4.28000020980835,13,1,white,female,single
4.570000171661377,14,37,white,female,married
6.25,15,12,white,female,married
2.950000047683716,14,41,nonwhite,male,married
8.75,12,24,white,male,single
8.5,8,38,white,male,single
3.75,12,18,white,female,married
3.150000095367432,12,26,white,male,married
5.0,8,45,white,male,single
6.460000038146973,12,27,white,male,married
2.0,9,2,white,male,single
4.789999961853027,12,41,white,male,married
5.78000020980835,16,11,white,male,married
3.180000066757202,12,5,white,female,married
4.679999828338623,16,3,white,female,single
4.099999904632568,12,3,white,female,single
2.9100000858306885,12,4,white,male,married
6.0,13,21,white,male,married
3.5999999046325684,10,34,white,female,married
3.950000047683716,6,49,white,male,married
7.0,12,6,nonwhite,male,married
3.0,12,26,white,female,married
6.079999923706055,16,9,white,male,single
8.630000114440918,12,23,white,male,married
3.0,8,33,white,male,married
3.75,12,5,white,female,married
2.900000095367432,6,49,white,male,married
3.0,4,48,nonwhite,male,married
6.25,11,35,white,male,married
3.5,11,23,nonwhite,female,single
3.0,7,26,white,female,single
3.240000009536743,12,16,white,female,married
8.020000457763672,18,23,white,female,married
3.3299999237060547,12,36,white,female,married
5.25,16,4,white,male,single
6.25,12,10,white,male,married
3.5,14,18,white,male,married
2.950000047683716,12,3,white,male,single
3.0,10,7,white,female,married
4.690000057220459,10,7,white,male,single
3.7300000190734863,9,33,white,female,single
4.0,10,34,white,male,married
4.0,12,8,white,female,married
2.900000095367432,12,17,white,female,married
3.049999952316284,12,2,white,female,single
5.050000190734863,10,5,white,female,single
13.949999809265137,16,41,white,male,married
18.15999984741211,16,35,white,male,married
6.25,16,11,white,male,single
5.25,12,4,nonwhite,male,single
4.789999961853027,12,12,white,female,married
3.3499999046325684,7,35,white,female,single
3.0,8,33,white,male,married
8.430000305175781,16,8,white,male,married
5.699999809265137,16,2,white,male,single
11.979999542236328,18,8,white,male,married
3.5,13,29,white,female,married
4.239999771118164,10,14,nonwhite,male,married
7.0,16,26,white,female,married
6.0,14,11,white,female,married
12.220000267028809,16,10,white,male,single
4.5,12,13,white,male,married
3.0,9,23,white,female,married
2.900000095367432,11,1,nonwhite,male,single
15.0,11,35,white,male,married
4.0,12,5,white,male,married
5.25,11,13,white,male,married
4.0,12,22,white,male,married
3.299999952316284,12,21,white,female,married
5.050000190734863,12,19,white,female,married
3.5799999237060547,12,13,white,male,single
5.0,14,15,white,male,married
4.570000171661377,14,3,white,male,married
12.5,18,6,white,male,single
3.450000047683716,12,6,white,female,married
4.630000114440918,12,16,white,female,single
10.0,12,31,white,male,married
2.9200000762939453,11,1,white,female,single
4.510000228881836,12,5,white,male,single
6.5,17,3,white,male,married
7.5,16,11,white,male,married
3.539999961853028,13,6,white,female,married
4.199999809265137,13,11,white,female,married
3.509999990463257,12,7,white,female,married
4.5,14,5,white,male,married
3.3499999046325684,14,5,white,female,married
2.9100000858306885,11,2,white,male,single
5.25,10,44,white,male,married
4.050000190734863,8,44,white,male,married
3.75,14,13,white,female,married
3.400000095367432,12,26,white,female,married
3.0,10,2,white,female,single
6.289999961853027,17,10,white,male,married
2.539999961853028,9,2,white,female,single
4.5,12,35,white,female,married
3.130000114440918,12,6,white,female,married
6.360000133514404,14,8,white,male,married
4.679999828338623,16,1,white,male,single
6.800000190734863,12,14,white,male,married
8.529999732971191,10,14,white,male,married
4.170000076293945,0,22,white,female,single
3.75,14,8,white,female,married
11.100000381469728,15,1,white,female,single
3.259999990463257,16,15,nonwhite,female,married
9.130000114440918,12,14,white,male,married
4.5,11,37,white,male,married
3.0,11,1,white,female,single
8.75,12,4,white,male,married
4.139999866485596,13,29,white,female,married
2.869999885559082,12,45,white,female,married
3.3499999046325684,13,22,white,female,single
6.079999923706055,16,42,white,male,single
3.0,15,9,nonwhite,male,single
4.199999809265137,16,8,white,female,married
5.599999904632568,15,31,white,female,single
10.0,12,24,white,male,married
12.5,18,16,white,male,married
3.759999990463257,6,6,white,male,single
3.0999999046325684,6,14,nonwhite,female,single
4.289999961853027,12,47,white,female,married
10.920000076293944,12,34,white,male,married
7.5,16,6,white,female,married
4.050000190734863,9,7,white,female,married
4.650000095367432,12,27,white,male,married
5.0,11,24,white,male,married
2.900000095367432,10,18,white,female,married
8.0,12,12,nonwhite,female,single
8.430000305175781,8,27,white,male,married
2.9200000762939453,9,49,white,female,single
6.25,17,4,white,female,single
6.25,16,24,white,female,married
5.110000133514404,11,3,white,male,single
4.0,10,2,white,female,single
4.440000057220459,8,29,white,male,married
6.880000114440918,13,34,white,male,married
5.429999828338623,14,10,nonwhite,male,married
3.0,13,5,white,female,single
2.900000095367432,11,2,white,female,single
6.25,7,39,nonwhite,male,married
4.340000152587891,16,5,nonwhite,female,single
3.25,12,14,white,female,married
7.260000228881836,13,8,white,male,single
6.349999904632568,14,10,white,female,married
5.630000114440918,16,2,white,male,married
8.75,14,9,white,male,married
3.200000047683716,11,1,white,male,single
3.0,8,45,white,female,married
3.0,14,33,white,female,married
12.5,17,21,white,male,married
2.880000114440918,10,2,white,female,single
3.3499999046325684,12,9,white,male,married
6.5,12,33,white,male,married
10.380000114440918,18,16,nonwhite,male,married
4.5,14,10,white,male,married
10.0,18,9,white,male,single
3.809999942779541,12,8,white,female,married
8.800000190734863,16,9,white,male,married
9.420000076293944,14,23,white,female,married
6.329999923706055,12,23,white,male,married
4.0,9,22,nonwhite,male,single
2.900000095367432,12,37,white,female,married
20.0,12,22,white,male,married
11.25,17,28,white,male,married
3.5,12,14,nonwhite,female,single
6.0,15,19,white,female,married
14.380000114440918,17,10,nonwhite,male,married
6.360000133514404,16,25,white,male,married
3.549999952316284,12,21,white,female,married
3.0,15,32,white,male,married
4.5,16,21,white,male,married
6.630000114440918,12,36,white,female,single
9.300000190734863,15,2,white,male,married
3.0,12,11,white,female,married
3.25,12,40,white,female,single
1.5,12,11,white,female,married
5.900000095367432,12,9,white,female,married
8.0,16,23,white,male,single
2.900000095367432,11,1,white,female,single
3.289999961853028,14,30,white,male,single
6.5,14,41,white,male,married
4.0,13,6,white,female,single
6.0,14,11,white,male,married
4.079999923706055,12,43,white,female,married
3.75,12,39,white,female,married
3.049999952316284,8,50,white,female,single
3.5,12,26,white,female,married
2.9200000762939453,3,51,nonwhite,male,single
4.5,11,3,white,male,single
3.3499999046325684,15,3,white,female,married
5.949999809265137,11,15,nonwhite,male,married
8.0,12,17,white,male,married
3.0,4,36,white,male,married
5.0,9,31,nonwhite,male,married
5.5,12,9,white,male,married
2.650000095367432,12,42,white,female,married
3.0,11,3,white,female,single
4.5,12,37,white,female,married
17.5,16,23,white,male,married
8.180000305175781,13,21,white,male,single
9.09000015258789,15,11,white,male,married
11.81999969482422,16,35,white,male,married
3.25,12,42,white,female,married
4.5,12,3,white,male,single
4.5,12,13,white,male,married
3.7100000381469727,9,14,white,male,married
6.5,10,14,white,male,married
2.900000095367432,12,39,white,female,married
5.599999904632568,11,11,white,male,married
2.2300000190734863,8,28,white,male,married
5.0,6,18,white,female,married
8.329999923706055,16,6,white,male,married
2.900000095367432,12,26,white,female,single
6.25,12,21,white,male,married
4.550000190734863,16,34,white,male,married
3.2799999713897705,12,17,white,female,single
2.299999952316284,10,2,white,female,single
3.299999952316284,13,5,white,female,single
3.150000095367432,13,1,white,female,single
12.5,14,40,white,male,married
5.150000095367432,16,39,white,female,single
3.130000114440918,10,1,white,male,single
7.25,12,14,white,male,married
2.900000095367432,12,2,white,female,single
1.75,11,2,white,male,single
2.890000104904175,0,42,white,female,married
2.900000095367432,5,34,white,female,married
17.709999084472656,16,10,white,male,married
6.25,16,4,white,male,married
2.5999999046325684,9,4,white,male,single
6.630000114440918,15,21,white,female,married
3.5,12,31,nonwhite,female,single
6.5,12,20,white,male,married
3.0,12,36,nonwhite,female,single
4.380000114440918,13,7,nonwhite,male,married
10.0,12,15,white,male,single
4.949999809265137,7,25,white,male,married
9.0,17,7,white,female,married
1.4299999475479126,12,17,white,female,married
3.0799999237060547,12,3,white,male,single
9.329999923706056,14,12,white,male,married
7.5,12,18,white,male,married
4.75,13,47,white,male,married
5.650000095367432,12,2,white,male,single
15.0,16,14,white,female,married
2.2699999809265137,10,2,white,female,single
4.670000076293945,15,13,white,male,married
11.5600004196167,16,5,white,male,married
3.5,14,5,nonwhite,female,single
